      Freq,       |Av|,       /_Av,       |Ai|,       /_Ai,       |Ap|,       /_Ap,    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),     Re(Av),     Im(Av),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout),     Re(Ai),     Im(Ai),    Re(Zin),    Im(Zin),   Re(Zout),   Im(Zout),    Re(Pin),    Im(Pin),   Re(Pout),   Im(Pout)
        Hz,         dB,       Rads,         dB,       Rads,         dB,       Rads,          V,          V,          V,          V,          L,          L,          A,          A,          A,          A,          L,          L,       Ohms,       Ohms,       Ohms,       Ohms,          W,          W,          W,          W
 5.221e+05, -1.488e+00,  2.989e+00, -7.570e+00, -2.084e+00, -4.529e+00, -1.211e+00,  1.320e+00,  1.455e+00, -1.286e+00, -1.043e+00, -8.328e-01,  1.281e-01,  7.360e-02, -2.910e-02, -2.571e-02, -2.085e-02, -2.052e-01, -3.645e-01,  8.749e+00,  2.323e+01,  8.749e+00,  2.323e+01,  5.480e-02,  1.455e-01,  5.480e-02,  0.000e+00,
 5.623e+05, -4.237e+00,  2.775e+00, -8.659e+00, -2.166e+00, -6.448e+00, -1.342e+00,  1.522e+00,  1.792e+00, -1.267e+00, -6.915e-01, -5.731e-01,  2.203e-01,  6.955e-02, -3.583e-02, -2.535e-02, -1.383e-02, -2.070e-01, -3.055e-01,  6.809e+00,  2.927e+01,  6.809e+00,  2.927e+01,  4.168e-02,  1.792e-01,  4.168e-02, -6.939e-18,
 6.024e+05, -6.757e+00,  2.625e+00, -9.713e+00, -2.238e+00, -8.235e+00, -1.420e+00,  1.782e+00,  2.045e+00, -1.176e+00, -4.126e-01, -3.994e-01,  2.268e-01,  6.435e-02, -4.090e-02, -2.352e-02, -8.252e-03, -2.022e-01, -2.568e-01,  5.341e+00,  3.517e+01,  5.341e+00,  3.517e+01,  3.106e-02,  2.045e-01,  3.106e-02,  5.204e-18,
 6.426e+05, -9.032e+00,  2.515e+00, -1.073e+01, -2.300e+00, -9.880e+00, -1.468e+00,  2.062e+00,  2.217e+00, -1.050e+00, -2.074e-01, -2.864e-01,  2.072e-01,  5.876e-02, -4.433e-02, -2.100e-02, -4.148e-03, -1.938e-01, -2.168e-01,  4.228e+00,  4.091e+01,  4.228e+00,  4.091e+01,  2.291e-02,  2.217e-01,  2.291e-02,  2.602e-18,
 6.827e+05, -1.109e+01,  2.430e+00, -1.170e+01, -2.355e+00, -1.140e+01, -1.498e+00,  2.336e+00,  2.320e+00, -9.159e-01, -6.461e-02, -2.113e-01,  1.821e-01,  5.327e-02, -4.639e-02, -1.832e-02, -1.292e-03, -1.836e-01, -1.841e-01,  3.379e+00,  4.648e+01,  3.379e+00,  4.648e+01,  1.686e-02,  2.320e-01,  1.686e-02,  3.253e-18,
 7.229e+05, -1.297e+01,  2.362e+00, -1.263e+01, -2.403e+00, -1.280e+01, -1.518e+00,  2.591e+00,  2.370e+00, -7.885e-01,  3.042e-02, -1.598e-01,  1.579e-01,  4.817e-02, -4.741e-02, -1.577e-02,  6.084e-04, -1.726e-01, -1.572e-01,  2.726e+00,  5.189e+01,  2.726e+00,  5.189e+01,  1.245e-02,  2.370e-01,  1.245e-02, -9.216e-19,
 7.631e+05, -1.470e+01,  2.306e+00, -1.353e+01, -2.445e+00, -1.411e+01, -1.532e+00,  2.822e+00,  2.384e+00, -6.742e-01,  9.101e-02, -1.235e-01,  1.366e-01,  4.356e-02, -4.768e-02, -1.348e-02,  1.820e-03, -1.616e-01, -1.351e-01,  2.219e+00,  5.715e+01,  2.219e+00,  5.715e+01,  9.257e-03,  2.384e-01,  9.257e-03, -6.505e-19,
 8.032e+05, -1.630e+01,  2.258e+00, -1.438e+01, -2.483e+00, -1.534e+01, -1.542e+00,  3.027e+00,  2.372e+00, -5.751e-01,  1.277e-01, -9.723e-02,  1.184e-01,  3.947e-02, -4.744e-02, -1.150e-02,  2.553e-03, -1.510e-01, -1.168e-01,  1.822e+00,  6.229e+01,  1.822e+00,  6.229e+01,  6.940e-03,  2.372e-01,  6.940e-03,  4.337e-19,
 8.434e+05, -1.779e+01,  2.218e+00, -1.520e+01, -2.517e+00, -1.649e+01, -1.548e+00,  3.207e+00,  2.342e+00, -4.906e-01,  1.481e-01, -7.775e-02,  1.030e-01,  3.586e-02, -4.685e-02, -9.812e-03,  2.962e-03, -1.409e-01, -1.016e-01,  1.509e+00,  6.730e+01,  1.509e+00,  6.730e+01,  5.252e-03,  2.342e-01,  5.252e-03, -6.505e-19,
 8.835e+05, -1.918e+01,  2.182e+00, -1.599e+01, -2.548e+00, -1.759e+01, -1.553e+00,  3.366e+00,  2.302e+00, -4.193e-01,  1.577e-01, -6.303e-02,  8.997e-02,  3.268e-02, -4.604e-02, -8.386e-03,  3.155e-03, -1.315e-01, -8.878e-02,  1.259e+00,  7.222e+01,  1.259e+00,  7.222e+01,  4.014e-03,  2.302e-01,  4.014e-03, -2.168e-19,
