      Freq,       |Av|,       /_Av,       |Ai|,       /_Ai,      |Pin|,      /_Pin,     |Pout|,     /_Pout,    Re(Zin),    Im(Zin),   Re(Zout),   Im(Zout),    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout)
        Hz,         dB,       Rads,         dB,       Rads,        dBW,       Rads,        dBW,       Rads,       Ohms,       Ohms,       Ohms,       Ohms,          V,          V,          V,          V,          A,          A,          A,          A
 1.007e+05, -1.606e+01,  1.549e+00,  1.541e+01,  1.931e+00, -1.896e+01,  3.823e-01, -1.928e+01, -1.838e-17,  1.737e+03,  6.985e+02,  1.108e+03, -1.004e+03,  4.879e+00,  4.744e-02,  9.591e-03,  7.679e-01,  2.427e-03, -9.487e-04,  1.918e-04,  1.536e-02,
 1.074e+05, -1.229e+01,  1.742e+00,  1.462e+00,  3.021e+00, -1.053e+01,  1.279e+00, -1.594e+01,  0.000e+00,  7.001e+01,  2.331e+02,  9.932e+01,  2.743e+02,  4.564e+00,  8.478e-01, -3.924e-01,  1.058e+00,  8.728e-03, -1.696e-02, -7.848e-03,  2.116e-02,
 1.141e+05, -4.813e+00, -2.183e+00,  4.475e-01, -3.104e+00, -8.559e+00, -9.211e-01, -1.074e+01, -1.646e-16,  5.543e+01, -7.296e+01,  4.992e+01, -6.943e+01,  3.397e+00, -1.110e+00, -1.643e+00, -1.231e+00,  3.207e-02,  2.219e-02, -3.286e-02, -2.462e-02,
 1.208e+05, -1.528e+01, -1.662e+00,  9.330e+00, -2.704e+00, -1.558e+01, -1.042e+00, -1.856e+01, -7.773e-17,  4.286e+02, -7.343e+02,  1.663e+02, -5.012e+02,  4.844e+00, -2.390e-01, -1.169e-01, -8.269e-01,  3.115e-03,  4.779e-03, -2.339e-03, -1.654e-02,
 1.275e+05, -1.509e+01, -1.510e+00,  4.602e+00, -2.431e-01, -1.316e+01,  1.267e+00, -1.840e+01,  0.000e+00,  1.443e+02,  4.602e+02,  3.607e+02,  6.747e+02,  4.805e+00,  4.611e-01,  1.323e-01, -8.397e-01,  3.892e-03, -9.221e-03,  2.647e-03, -1.679e-02,
 1.342e+05, -3.787e+00, -9.044e-01, -6.731e-02, -3.016e-02, -8.413e+00,  8.742e-01, -1.034e+01, -1.501e-16,  4.923e+01,  5.885e+01,  5.465e+01,  6.184e+01,  3.136e+00,  1.105e+00,  1.815e+00, -1.152e+00,  3.728e-02, -2.211e-02,  3.631e-02, -2.304e-02,
 1.409e+05, -1.254e+01,  1.368e+00,  3.395e+00,  1.540e-01, -1.153e+01, -1.214e+00, -1.611e+01, -3.539e-17,  1.093e+02, -2.934e+02,  6.785e+01, -2.352e+02,  4.643e+00, -6.581e-01,  3.727e-01,  1.042e+00,  7.145e-03,  1.316e-02,  7.454e-03,  2.085e-02,
 1.477e+05, -1.611e+01,  1.552e+00,  1.243e+01,  2.410e+00, -1.749e+01,  8.578e-01, -1.934e+01, -5.583e-17,  8.740e+02,  1.011e+03,  1.264e+03, -9.928e+02,  4.877e+00,  1.347e-01, -6.936e-03,  7.632e-01,  2.464e-03, -2.695e-03, -1.387e-04,  1.526e-02,
 1.544e+05, -1.193e+01,  1.749e+00,  9.740e-01,  3.033e+00, -1.018e+01,  1.284e+00, -1.566e+01,  6.386e-17,  6.257e+01,  2.119e+02,  1.001e+02,  2.638e+02,  4.511e+00,  9.201e-01, -4.316e-01,  1.083e+00,  9.775e-03, -1.840e-02, -8.632e-03,  2.165e-02,
 1.611e+05, -4.981e+00, -2.177e+00,  5.601e-01, -3.103e+00, -8.601e+00, -9.259e-01, -1.081e+01,  0.000e+00,  5.688e+01, -7.562e+01,  4.889e+01, -7.039e+01,  3.441e+00, -1.103e+00, -1.616e+00, -1.240e+00,  3.117e-02,  2.206e-02, -3.231e-02, -2.480e-02,
 1.678e+05, -1.522e+01, -1.675e+00,  9.638e+00, -2.692e+00, -1.570e+01, -1.017e+00, -1.849e+01,  3.066e-17,  4.600e+02, -7.436e+02,  1.317e+02, -4.470e+02,  4.843e+00, -2.286e-01, -1.267e-01, -8.313e-01,  3.136e-03,  4.573e-03, -2.535e-03, -1.663e-02,
 1.745e+05, -1.542e+01, -1.531e+00,  4.796e+00, -2.591e-01, -1.340e+01,  1.272e+00, -1.872e+01, -4.840e-17,  1.508e+02,  4.901e+02,  6.573e+02,  8.498e+02,  4.821e+00,  4.367e-01,  1.061e-01, -8.129e-01,  3.579e-03, -8.735e-03,  2.123e-03, -1.626e-02,
 1.812e+05, -6.479e+00, -1.129e+00, -9.008e-02, -4.718e-02, -8.457e+00,  1.082e+00, -1.174e+01,  0.000e+00,  4.897e+01,  9.212e+01,  6.145e+01,  1.026e+02,  3.647e+00,  1.260e+00,  1.279e+00, -1.309e+00,  2.707e-02, -2.519e-02,  2.558e-02, -2.617e-02,
 1.879e+05, -1.095e+01,  1.298e+00,  2.456e+00,  1.130e-01, -1.053e+01, -1.185e+00, -1.478e+01,  0.000e+00,  8.801e+01, -2.169e+02,  5.501e+01, -1.740e+02,  4.478e+00, -8.204e-01,  5.653e-01,  1.160e+00,  1.044e-02,  1.641e-02,  1.131e-02,  2.319e-02,
 1.946e+05, -1.608e+01,  1.515e+00,  1.581e+01,  1.762e+00, -1.917e+01,  2.476e-01, -1.930e+01,  9.236e-18,  1.907e+03,  4.820e+02,  3.258e+02, -7.434e+02,  4.880e+00,  2.968e-02,  3.841e-02,  7.651e-01,  2.409e-03, -5.936e-04,  7.683e-04,  1.530e-02,
 2.014e+05, -1.406e+01,  1.664e+00,  1.975e+00,  2.983e+00, -1.146e+01,  1.319e+00, -1.750e+01,  9.751e-17,  7.880e+01,  3.068e+02,  2.123e+02,  4.791e+02,  4.709e+00,  6.927e-01, -2.233e-01,  9.163e-01,  5.816e-03, -1.385e-02, -4.467e-03,  1.833e-02,
 2.081e+05, -4.447e-01,  2.785e+00, -9.012e-02,  3.133e+00, -8.901e+00,  3.473e-01, -9.169e+00, -8.595e-17,  4.897e+01,  1.773e+01,  5.139e+01,  1.814e+01,  2.553e+00,  4.384e-01, -2.418e+00,  4.559e-01,  4.895e-02, -8.768e-03, -4.836e-02,  9.117e-03,
 2.148e+05, -1.324e+01, -1.761e+00,  4.785e+00, -2.945e+00, -1.248e+01, -1.183e+00, -1.671e+01,  8.127e-17,  1.505e+02, -3.689e+02,  6.503e+01, -2.509e+02,  4.716e+00, -5.232e-01, -3.063e-01, -9.866e-01,  5.687e-03,  1.046e-02, -6.125e-03, -1.973e-02,
 2.215e+05, -1.624e+01, -1.603e+00,  1.065e+01, -5.848e-01, -1.666e+01,  1.018e+00, -1.946e+01,  2.752e-17,  5.801e+02,  9.400e+02,  7.267e+02, -1.000e+03,  4.877e+00,  1.835e-01,  4.365e-03, -7.525e-01,  2.460e-03, -3.670e-03,  8.730e-05, -1.505e-02,
 2.282e+05, -1.291e+01, -1.439e+00,  8.977e-01, -1.218e-01, -1.050e+01,  1.317e+00, -1.650e+01, -7.753e-17,  6.148e+01,  2.372e+02,  1.430e+02,  3.501e+02,  4.594e+00,  8.633e-01,  3.303e-01, -1.005e+00,  8.114e-03, -1.727e-02,  6.606e-03, -2.010e-02,
 2.349e+05, -7.430e-01,  3.768e-01,  1.457e-01,  1.019e-02, -8.896e+00, -3.666e-01, -9.195e+00, -2.882e-17,  5.171e+01, -1.985e+01,  4.873e+01, -1.930e+01,  2.632e+00, -4.622e-01,  2.403e+00,  4.946e-01,  4.736e-02,  9.245e-03,  4.806e-02,  9.891e-03,
 2.416e+05, -1.396e+01,  1.401e+00,  6.275e+00,  2.559e-01, -1.350e+01, -1.145e+00, -1.734e+01,  0.000e+00,  2.121e+02, -4.677e+02,  6.891e+01, -2.815e+02,  4.772e+00, -4.068e-01,  2.421e-01,  9.293e-01,  4.559e-03,  8.136e-03,  4.842e-03,  1.859e-02,
 2.483e+05, -1.628e+01,  1.542e+00,  8.857e+00,  2.673e+00, -1.579e+01,  1.131e+00, -1.950e+01, -9.663e-18,  3.843e+02,  8.171e+02,  8.179e+02, -1.034e+03,  4.873e+00,  2.386e-01, -1.524e-02,  7.489e-01,  2.536e-03, -4.771e-03, -3.047e-04,  1.498e-02,
 2.550e+05, -1.285e+01,  1.701e+00,  6.593e-01,  3.024e+00, -1.037e+01,  1.323e+00, -1.646e+01,  3.840e-17,  5.820e+01,  2.296e+02,  1.476e+02,  3.526e+02,  4.580e+00,  8.910e-01, -3.370e-01,  1.008e+00,  8.399e-03, -1.782e-02, -6.741e-03,  2.016e-02,
 2.618e+05, -3.041e-01, -2.914e+00,  8.921e-02, -3.136e+00, -8.980e+00, -2.215e-01, -9.087e+00,  0.000e+00,  5.104e+01, -1.149e+01,  4.911e+01, -1.129e+01,  2.557e+00, -2.779e-01, -2.466e+00, -2.953e-01,  4.885e-02,  5.558e-03, -4.932e-02, -5.906e-03,
 2.685e+05, -1.353e+01, -1.762e+00,  5.667e+00, -2.916e+00, -1.302e+01, -1.154e+00, -1.695e+01,  4.302e-17,  1.844e+02, -4.167e+02,  6.063e+01, -2.509e+02,  4.744e+00, -4.558e-01, -2.839e-01, -9.631e-01,  5.126e-03,  9.115e-03, -5.679e-03, -1.926e-02,
 2.752e+05, -1.636e+01, -1.620e+00,  1.057e+01, -5.882e-01, -1.668e+01,  1.032e+00, -1.958e+01,  6.393e-17,  5.706e+02,  9.534e+02,  3.832e+02, -8.255e+02,  4.880e+00,  1.842e-01, -8.315e-03, -7.423e-01,  2.398e-03, -3.684e-03, -1.663e-04, -1.485e-02,
 2.819e+05, -1.411e+01, -1.489e+00,  1.175e+00, -1.454e-01, -1.110e+01,  1.343e+00, -1.757e+01,  0.000e+00,  6.553e+01,  2.832e+02,  2.643e+02,  5.278e+02,  4.691e+00,  7.568e-01,  2.242e-01, -9.085e-01,  6.175e-03, -1.514e-02,  4.485e-03, -1.817e-02,
 2.886e+05, -2.841e+00, -8.242e-01, -2.946e-01, -2.460e-02, -8.427e+00,  7.996e-01, -9.994e+00,  6.930e-17,  4.672e+01,  4.807e+01,  5.632e+01,  5.252e+01,  2.927e+00,  1.030e+00,  1.979e+00, -1.045e+00,  4.146e-02, -2.060e-02,  3.957e-02, -2.089e-02,
 2.953e+05, -1.120e+01,  1.288e+00,  3.175e+00,  1.259e-01, -1.095e+01, -1.162e+00, -1.496e+01, -5.430e-17,  1.039e+02, -2.400e+02,  4.849e+01, -1.681e+02,  4.527e+00, -7.382e-01,  5.431e-01,  1.141e+00,  9.466e-03,  1.476e-02,  1.086e-02,  2.282e-02,
 3.020e+05, -1.602e+01,  1.474e+00,  1.602e+01,  1.481e+00, -1.925e+01,  6.832e-03, -1.925e+01,  0.000e+00,  2.001e+03,  1.367e+01,  1.253e+02, -4.825e+02,  4.878e+00,  8.123e-04,  7.442e-02,  7.674e-01,  2.437e-03, -1.625e-05,  1.488e-03,  1.535e-02,
 3.087e+05, -1.585e+01,  1.580e+00,  3.380e+00,  2.911e+00, -1.289e+01,  1.331e+00, -1.913e+01,  3.550e-17,  1.089e+02,  4.445e+02,  1.823e+03,  4.710e+02,  4.822e+00,  4.987e-01, -8.769e-02,  7.766e-01,  3.565e-03, -9.974e-03, -1.754e-03,  1.553e-02,
 3.154e+05, -1.074e+01,  1.774e+00, -2.809e-01,  3.060e+00, -9.239e+00,  1.286e+00, -1.475e+01, -5.177e-17,  4.687e+01,  1.600e+02,  1.019e+02,  2.302e+02,  4.307e+00,  1.144e+00, -5.779e-01,  1.158e+00,  1.385e-02, -2.287e-02, -1.156e-02,  2.316e-02,
 3.222e+05, -2.568e+00, -2.450e+00,  4.585e-01, -3.119e+00, -8.682e+00, -6.691e-01, -9.737e+00, -6.531e-17,  5.557e+01, -4.394e+01,  4.665e+01, -4.045e+01,  2.982e+00, -8.402e-01, -2.107e+00, -9.336e-01,  4.037e-02,  1.680e-02, -4.215e-02, -1.867e-02,
 3.289e+05, -1.359e+01, -1.772e+00,  6.254e+00, -2.899e+00, -1.334e+01, -1.126e+00, -1.700e+01,  4.351e-17,  2.111e+02, -4.433e+02,  5.387e+01, -2.383e+02,  4.753e+00, -4.187e-01, -2.848e-01, -9.569e-01,  4.932e-03,  8.374e-03, -5.696e-03, -1.914e-02,
 3.356e+05, -1.644e+01, -1.648e+00,  1.206e+01, -7.256e-01, -1.746e+01,  9.222e-01, -1.965e+01, -2.001e-17,  8.041e+02,  1.061e+03,  1.731e+02, -5.913e+02,  4.885e+00,  1.430e-01, -3.519e-02, -7.353e-01,  2.302e-03, -2.860e-03, -7.039e-04, -1.471e-02,
 3.423e+05, -1.562e+01, -1.552e+00,  2.166e+00, -1.950e-01, -1.220e+01,  1.357e+00, -1.893e+01,  0.000e+00,  8.233e+01,  3.788e+02,  1.388e+03,  8.038e+02,  4.794e+00,  5.882e-01,  1.125e-01, -7.916e-01,  4.110e-03, -1.176e-02,  2.249e-03, -1.583e-02,
 3.490e+05, -1.056e+01, -1.364e+00, -4.746e-01, -7.822e-02, -9.104e+00,  1.286e+00, -1.462e+01,  1.005e-16,  4.482e+01,  1.532e+02,  1.032e+02,  2.265e+02,  4.270e+00,  1.180e+00,  6.018e-01, -1.168e+00,  1.460e-02, -2.359e-02,  1.204e-02, -2.335e-02,
 3.557e+05, -1.226e+00,  4.710e-01,  2.834e-01,  1.350e-02, -8.836e+00, -4.575e-01, -9.307e+00,  2.958e-17,  5.337e+01, -2.628e+01,  4.747e+01, -2.486e+01,  2.728e+00, -5.775e-01,  2.339e+00,  6.282e-01,  4.543e-02,  1.155e-02,  4.677e-02,  1.256e-02,
 3.624e+05, -1.254e+01,  1.325e+00,  4.868e+00,  1.809e-01, -1.224e+01, -1.144e+00, -1.608e+01, -7.029e-17,  1.534e+02, -3.377e+02,  4.672e+01, -1.949e+02,  4.673e+00, -5.433e-01,  3.926e-01,  1.039e+00,  6.545e-03,  1.087e-02,  7.853e-03,  2.078e-02,
 3.691e+05, -1.612e+01,  1.458e+00,  1.594e+01,  1.662e+00, -1.925e+01,  2.040e-01, -1.934e+01, -1.863e-17,  1.963e+03,  4.062e+02,  9.129e+01, -4.197e+02,  4.881e+00,  2.408e-02,  8.243e-02,  7.583e-01,  2.387e-03, -4.816e-04,  1.649e-03,  1.517e-02,
 3.758e+05, -1.654e+01,  1.538e+00,  4.457e+00,  2.858e+00, -1.373e+01,  1.319e+00, -1.977e+01,  0.000e+00,  1.395e+02,  5.429e+02,  6.634e+02, -1.031e+03,  4.857e+00,  4.105e-01, -3.769e-02,  7.252e-01,  2.866e-03, -8.209e-03, -7.538e-04,  1.450e-02,
 3.826e+05, -1.435e+01,  1.635e+00,  2.685e-01,  3.007e+00, -1.077e+01,  1.372e+00, -1.781e+01,  5.237e-17,  5.319e+01,  2.639e+02,  3.877e+02,  6.274e+02,  4.679e+00,  8.217e-01, -2.146e-01,  8.843e-01,  6.426e-03, -1.643e-02, -4.291e-03,  1.769e-02,
 3.893e+05, -8.066e+00,  1.888e+00, -7.103e-01,  3.086e+00, -8.438e+00,  1.198e+00, -1.283e+01, -1.330e-16,  4.246e+01,  1.086e+02,  7.976e+01,  1.462e+02,  3.864e+00,  1.335e+00, -9.771e-01,  1.286e+00,  2.272e-02, -2.669e-02, -1.954e-02,  2.572e-02,
 3.960e+05, -2.830e+00, -2.429e+00,  5.819e-01, -3.117e+00, -8.693e+00, -6.888e-01, -9.816e+00,  0.000e+00,  5.717e+01, -4.707e+01,  4.553e+01, -4.226e+01,  3.044e+00, -8.589e-01, -2.068e+00, -9.688e-01,  3.911e-02,  1.718e-02, -4.136e-02, -1.938e-02,
 4.027e+05, -1.218e+01, -1.837e+00,  4.686e+00, -2.973e+00, -1.202e+01, -1.135e+00, -1.577e+01,  6.546e-17,  1.471e+02, -3.161e+02,  4.324e+01, -1.792e+02,  4.645e+00, -5.695e-01, -4.361e-01, -1.065e+00,  7.102e-03,  1.139e-02, -8.722e-03, -2.131e-02,
 4.094e+05, -1.570e+01, -1.715e+00,  1.479e+01, -2.167e+00, -1.849e+01, -4.513e-01, -1.894e+01, -1.020e-16,  1.505e+03, -7.296e+02,  6.295e+01, -3.327e+02,  4.868e+00, -6.181e-02, -1.250e-01, -7.886e-01,  2.635e-03,  1.236e-03, -2.501e-03, -1.577e-02,
 4.161e+05, -1.683e+01, -1.647e+00,  7.677e+00, -4.323e-01, -1.546e+01,  1.215e+00, -2.004e+01, -1.148e-16,  2.929e+02,  7.878e+02,  1.608e+02, -6.007e+02,  4.884e+00,  2.668e-01, -1.537e-02, -7.041e-01,  2.323e-03, -5.336e-03, -3.073e-04, -1.408e-02,
 4.228e+05, -1.636e+01, -1.587e+00,  2.096e+00, -2.108e-01, -1.249e+01,  1.376e+00, -1.962e+01, -1.989e-17,  8.102e+01,  4.106e+02,  1.313e+03, -1.074e+03,  4.824e+00,  5.526e-01,  7.229e-02, -7.348e-01,  3.526e-03, -1.105e-02,  1.446e-03, -1.470e-02,
 4.295e+05, -1.433e+01, -1.510e+00, -2.411e-01, -1.267e-01, -1.052e+01,  1.383e+00, -1.780e+01,  5.231e-17,  4.730e+01,  2.487e+02,  4.219e+02,  6.429e+02,  4.659e+00,  8.718e-01,  2.220e-01, -8.831e-01,  6.822e-03, -1.744e-02,  4.440e-03, -1.766e-02,
 4.362e+05, -1.012e+01, -1.357e+00, -9.242e-01, -7.044e-02, -8.796e+00,  1.286e+00, -1.432e+01,  0.000e+00,  4.042e+01,  1.383e+02,  1.066e+02,  2.179e+02,  4.172e+00,  1.267e+00,  6.626e-01, -1.188e+00,  1.656e-02, -2.533e-02,  1.325e-02, -2.377e-02,
 4.430e+05, -1.669e+00, -6.818e-01, -4.024e-01, -1.823e-02, -8.570e+00,  6.635e-01, -9.605e+00, -6.336e-17,  4.558e+01,  3.563e+01,  5.645e+01,  3.943e+01,  2.703e+00,  8.562e-01,  2.177e+00, -8.572e-01,  4.593e-02, -1.712e-02,  4.355e-02, -1.714e-02,
 4.497e+05, -5.607e+00,  9.650e-01,  1.257e+00,  4.531e-02, -8.887e+00, -9.197e-01, -1.106e+01,  0.000e+00,  6.678e+01, -8.765e+01,  4.235e+01, -7.066e+01,  3.631e+00, -1.028e+00,  1.527e+00,  1.258e+00,  2.739e-02,  2.055e-02,  3.054e-02,  2.516e-02,
 4.564e+05, -1.155e+01,  1.270e+00,  4.309e+00,  1.488e-01, -1.161e+01, -1.121e+00, -1.523e+01, -5.778e-17,  1.349e+02, -2.795e+02,  3.962e+01, -1.580e+02,  4.588e+00, -6.222e-01,  5.169e-01,  1.111e+00,  8.231e-03,  1.244e-02,  1.034e-02,  2.222e-02,
 4.631e+05, -1.452e+01,  1.370e+00,  9.651e+00,  4.070e-01, -1.541e+01, -9.631e-01, -1.784e+01,  1.055e-16,  4.614e+02, -6.633e+02,  4.378e+01, -2.403e+02,  4.818e+00, -2.364e-01,  2.241e-01,  8.786e-01,  3.645e-03,  4.728e-03,  4.483e-03,  1.757e-02,
 4.698e+05, -1.611e+01,  1.424e+00,  1.602e+01,  1.569e+00, -1.929e+01,  1.444e-01, -1.933e+01,  0.000e+00,  2.001e+03,  2.909e+02,  5.576e+01, -3.292e+02,  4.880e+00,  1.695e-02,  1.089e-01,  7.557e-01,  2.390e-03, -3.390e-04,  2.178e-03,  1.511e-02,
 4.765e+05, -1.691e+01,  1.461e+00,  9.688e+00,  2.582e+00, -1.649e+01,  1.120e+00, -2.010e+01, -2.220e-17,  4.653e+02,  9.620e+02,  8.128e+01, -4.368e+02,  4.892e+00,  2.019e-01,  4.757e-02,  6.972e-01,  2.163e-03, -4.039e-03,  9.514e-04,  1.394e-02,
 4.832e+05, -1.718e+01,  1.491e+00,  5.243e+00,  2.806e+00, -1.441e+01,  1.315e+00, -2.038e+01, -7.543e-17,  1.672e+02,  6.395e+02,  1.365e+02, -5.811e+02,  4.881e+00,  3.505e-01,  5.624e-03,  6.769e-01,  2.381e-03, -7.010e-03,  1.125e-04,  1.354e-02,
 4.899e+05, -1.710e+01,  1.516e+00,  2.722e+00,  2.895e+00, -1.313e+01,  1.379e+00, -2.032e+01,  1.166e-17,  9.358e+01,  4.807e+02,  2.700e+02, -7.897e+02,  4.857e+00,  4.775e-01, -2.949e-02,  6.811e-01,  2.853e-03, -9.550e-03, -5.899e-04,  1.362e-02,
 4.966e+05, -1.677e+01,  1.539e+00,  1.182e+00,  2.943e+00, -1.223e+01,  1.404e+00, -2.003e+01, -4.367e-17,  6.564e+01,  3.897e+02,  6.396e+02, -1.065e+03,  4.825e+00,  5.896e-01, -6.311e-02,  7.019e-01,  3.499e-03, -1.179e-02, -1.262e-03,  1.404e-02,
 5.034e+05, -1.631e+01,  1.560e+00,  2.144e-01,  2.973e+00, -1.156e+01,  1.413e+00, -1.961e+01, -7.937e-17,  5.253e+01,  3.311e+02,  1.561e+03, -9.878e+02,  4.787e+00,  6.889e-01, -9.716e-02,  7.328e-01,  4.266e-03, -1.378e-02, -1.943e-03,  1.466e-02,
 5.101e+05, -1.581e+01,  1.578e+00, -3.930e-01,  2.994e+00, -1.106e+01,  1.415e+00, -1.916e+01, -3.575e-17,  4.567e+01,  2.915e+02,  1.931e+03,  2.344e+02,  4.746e+00,  7.743e-01, -1.311e-01,  7.677e-01,  5.083e-03, -1.549e-02, -2.622e-03,  1.535e-02,
 5.168e+05, -1.535e+01,  1.593e+00, -7.676e-01,  3.007e+00, -1.069e+01,  1.414e+00, -1.875e+01,  3.253e-17,  4.190e+01,  2.648e+02,  1.288e+03,  7.903e+02,  4.708e+00,  8.426e-01, -1.619e-01,  8.003e-01,  5.848e-03, -1.685e-02, -3.238e-03,  1.601e-02,
 5.235e+05, -1.503e+01,  1.604e+00, -9.908e-01,  3.016e+00, -1.045e+01,  1.412e+00, -1.846e+01,  0.000e+00,  3.980e+01,  2.484e+02,  9.256e+02,  8.193e+02,  4.678e+00,  8.900e-01, -1.849e-01,  8.238e-01,  6.434e-03, -1.780e-02, -3.698e-03,  1.648e-02,
