      Freq,       |Av|,       /_Av,       |Ai|,       /_Ai,      |Pin|,      /_Pin,     |Pout|,     /_Pout,    Re(Zin),    Im(Zin),   Re(Zout),   Im(Zout),    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout)
        Hz,         dB,       Rads,         dB,       Rads,        dBW,       Rads,        dBW,       Rads,       Ohms,       Ohms,       Ohms,       Ohms,          V,          V,          V,          V,          A,          A,          A,          A
 1.000e+01, -1.068e-02, -5.022e-02,  2.668e-04, -1.257e-03, -9.028e+00,  4.897e-02, -9.034e+00, -6.943e-18,  5.000e+01,  2.450e+00,  5.000e+01,  2.450e+00,  2.502e+00,  6.122e-02,  2.498e+00, -6.436e-02,  4.997e-02, -1.224e-03,  4.997e-02, -1.287e-03,
 6.721e+03, -1.423e+01,  1.455e+00,  4.477e+00,  2.157e-01, -1.273e+01, -1.239e+00, -1.761e+01,  0.000e+00,  1.402e+02, -4.074e+02,  1.354e+02, -4.011e+02,  4.765e+00, -5.038e-01,  2.041e-01,  9.083e-01,  4.703e-03,  1.008e-02,  4.082e-03,  1.817e-02,
 1.343e+04, -1.558e+01,  1.621e+00,  8.886e+00,  2.711e+00, -1.549e+01,  1.090e+00, -1.884e+01,  6.641e-17,  3.868e+02,  7.414e+02,  4.412e+02,  7.767e+02,  4.853e+00,  2.503e-01, -8.202e-02,  8.039e-01,  2.950e-03, -5.006e-03, -1.640e-03,  1.608e-02,
 2.014e+04, -6.494e+00,  2.037e+00,  3.401e-01,  3.093e+00, -8.617e+00,  1.056e+00, -1.169e+01,  2.050e-16,  5.407e+01,  9.558e+01,  5.544e+01,  9.672e+01,  3.697e+00,  1.197e+00, -1.292e+00,  1.310e+00,  2.606e-02, -2.393e-02, -2.585e-02,  2.619e-02,
 2.686e+04, -1.180e+01, -1.782e+00,  2.060e+00, -3.021e+00, -1.063e+01, -1.239e+00, -1.550e+01, -6.158e-17,  8.034e+01, -2.330e+02,  7.422e+01, -2.246e+02,  4.543e+00, -8.171e-01, -4.503e-01, -1.098e+00,  9.140e-03,  1.634e-02, -9.005e-03, -2.196e-02,
 3.357e+04, -1.602e+01, -1.573e+00,  1.553e+01, -1.240e+00, -1.900e+01,  3.323e-01, -1.925e+01,  4.446e-17,  1.788e+03,  6.171e+02,  1.986e+03, -1.739e+02,  4.878e+00,  4.103e-02,  4.963e-03, -7.710e-01,  2.444e-03, -8.205e-04,  9.926e-05, -1.542e-02,
 4.028e+04, -1.133e+01, -1.352e+00,  1.407e+00, -1.059e-01, -1.017e+01,  1.246e+00, -1.513e+01,  5.654e-17,  6.914e+01,  2.053e+02,  7.712e+01,  2.161e+02,  4.471e+00,  9.110e-01,  5.049e-01, -1.131e+00,  1.057e-02, -1.822e-02,  1.010e-02, -2.262e-02,
 4.699e+04, -7.303e+00,  1.145e+00,  6.425e-01,  5.686e-02, -8.838e+00, -1.088e+00, -1.217e+01,  1.143e-16,  5.797e+01, -1.105e+02,  5.427e+01, -1.071e+02,  3.869e+00, -1.157e+00,  1.145e+00,  1.313e+00,  2.261e-02,  2.315e-02,  2.289e-02,  2.627e-02,
 5.370e+04, -1.568e+01,  1.516e+00,  1.111e+01,  5.771e-01, -1.664e+01, -9.384e-01, -1.893e+01, -5.082e-17,  6.460e+02, -8.816e+02,  3.686e+02, -7.380e+02,  4.862e+00, -1.747e-01,  7.280e-02,  7.967e-01,  2.758e-03,  3.494e-03,  1.456e-03,  1.593e-02,
 6.041e+04, -1.409e+01,  1.681e+00,  3.520e+00,  2.952e+00, -1.221e+01,  1.270e+00, -1.750e+01, -4.876e-17,  1.125e+02,  3.629e+02,  1.522e+02,  4.159e+02,  4.743e+00,  5.739e-01, -2.159e-01,  9.180e-01,  5.139e-03, -1.148e-02, -4.319e-03,  1.836e-02,
 6.712e+04, -7.875e-02, -3.016e+00,  1.329e-02, -3.138e+00, -9.015e+00, -1.226e-01, -9.047e+00,  1.393e-17,  5.015e+01, -6.180e+00,  4.989e+01, -6.165e+00,  2.513e+00, -1.535e-01, -2.490e+00, -1.616e-01,  4.973e-02,  3.069e-03, -4.980e-02, -3.232e-03,
 7.383e+04, -1.435e+01, -1.693e+00,  5.471e+00, -2.896e+00, -1.327e+01, -1.203e+00, -1.771e+01, -2.561e-17,  1.762e+02, -4.572e+02,  1.184e+02, -3.827e+02,  4.783e+00, -4.393e-01, -1.953e-01, -8.992e-01,  4.347e-03,  8.785e-03, -3.906e-03, -1.798e-02,
 8.055e+04, -1.561e+01, -1.531e+00,  7.582e+00, -3.689e-01, -1.486e+01,  1.163e+00, -1.887e+01,  1.003e-16,  2.866e+02,  6.625e+02,  6.335e+02,  8.680e+02,  4.848e+00,  3.000e-01,  8.132e-02, -8.013e-01,  3.048e-03, -5.999e-03,  1.626e-03, -1.603e-02,
 8.726e+04, -6.877e+00, -1.140e+00,  1.972e-01, -5.132e-02, -8.607e+00,  1.089e+00, -1.195e+01, -2.173e-16,  5.232e+01,  1.000e+02,  5.874e+01,  1.057e+02,  3.751e+00,  1.221e+00,  1.212e+00, -1.313e+00,  2.498e-02, -2.443e-02,  2.424e-02, -2.627e-02,
 9.397e+04, -1.142e+01,  1.333e+00,  2.227e+00,  1.172e-01, -1.058e+01, -1.216e+00, -1.517e+01,  5.710e-17,  8.350e+01, -2.256e+02,  6.457e+01, -2.000e+02,  4.514e+00, -8.208e-01,  4.994e-01,  1.127e+00,  9.715e-03,  1.642e-02,  9.989e-03,  2.254e-02,
