      Freq,    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout),    Re(Pin),    Im(Pin),   Re(Zout),   Im(Zout),   Re(Pout),   Im(Pout),    Re(Zin),    Im(Zin),     Re(Av),     Im(Av),     Re(Ai),     Im(Ai)
        Hz,          V,          V,          V,          V,          A,          A,          A,          A,          W,          W,       Ohms,       Ohms,          W,          W,       Ohms,       Ohms,          L,          L,          L,          L
 1.000e+01,  3.158e+00,  0.000e+00,  7.895e-01,  0.000e+00,  3.684e-02,  0.000e+00,  1.579e-02,  0.000e+00,  1.163e-01,  0.000e+00,  1.875e+02,  0.000e+00,  1.247e-02,  0.000e+00,  8.571e+01,  0.000e+00,  2.500e-01,  0.000e+00,  4.286e-01,  0.000e+00,
 5.000e+06,  3.158e+00,  0.000e+00,  7.895e-01,  0.000e+00,  3.684e-02,  0.000e+00,  1.579e-02,  0.000e+00,  1.163e-01,  0.000e+00,  1.875e+02,  0.000e+00,  1.247e-02,  0.000e+00,  8.571e+01,  0.000e+00,  2.500e-01,  0.000e+00,  4.286e-01,  0.000e+00,
 1.000e+07,  3.158e+00,  0.000e+00,  7.895e-01,  0.000e+00,  3.684e-02,  0.000e+00,  1.579e-02,  0.000e+00,  1.163e-01,  0.000e+00,  1.875e+02,  0.000e+00,  1.247e-02,  0.000e+00,  8.571e+01,  0.000e+00,  2.500e-01,  0.000e+00,  4.286e-01,  0.000e+00,
