      Freq,       |Av|,       /_Av,       |Ai|,       /_Ai,      |Pin|,      /_Pin,     |Pout|,     /_Pout,    Re(Zin),    Im(Zin),   Re(Zout),   Im(Zout),    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout)
        Hz,         dB,       Rads,         dB,       Rads,        dBW,       Rads,        dBW,       Rads,       Ohms,       Ohms,       Ohms,       Ohms,          V,          V,          V,          V,          A,          A,          A,          A
 1.141e+05,  4.632e-01,  2.355e+00, -5.087e-01,  2.458e+00, -1.704e+01,  1.023e-01, -1.706e+01,  0.000e+00,  2.811e+02,  2.884e+01,  3.521e+02, -3.562e+01,  2.360e+00,  1.275e-01, -1.854e+00,  1.666e+00,  8.355e-03, -4.036e-04, -5.867e-03,  5.274e-03,
 1.208e+05, -5.133e-01,  9.853e-01,  3.644e-01,  1.170e+00, -1.701e+01,  1.847e-01, -1.709e+01, -1.774e-16,  3.437e+02,  6.419e+01,  2.813e+02, -5.289e+01,  2.627e+00,  2.309e-01,  1.187e+00,  2.184e+00,  7.509e-03, -7.307e-04,  3.757e-03,  6.912e-03,
 1.275e+05,  2.873e-01, -2.858e-01, -2.889e-01, -2.666e-01, -1.704e+01,  1.920e-02, -1.704e+01,  0.000e+00,  2.957e+02,  5.679e+00,  3.377e+02, -6.230e+00,  2.417e+00,  2.398e-02,  2.404e+00, -6.807e-01,  8.174e-03, -7.588e-05,  7.608e-03, -2.154e-03,
 1.342e+05, -2.138e-01, -1.750e+00, -9.363e-02, -1.485e+00, -1.696e+01,  2.645e-01, -1.712e+01,  2.790e-17,  3.093e+02,  8.376e+01,  3.017e+02, -8.175e+01,  2.518e+00,  3.326e-01, -1.176e-01, -2.475e+00,  7.856e-03, -1.052e-03, -3.722e-04, -7.832e-03,
 1.409e+05, -2.129e-01, -2.967e+00,  2.126e-01, -2.959e+00, -1.704e+01,  8.580e-03, -1.704e+01, -2.194e-17,  3.319e+02,  2.847e+00,  3.009e+02, -2.733e+00,  2.561e+00,  1.072e-02, -2.460e+00, -4.437e-01,  7.718e-03, -3.392e-05, -7.783e-03, -1.404e-03,
 1.477e+05,  3.051e-01,  1.836e+00, -5.785e-01,  2.085e+00, -1.698e+01,  2.495e-01, -1.712e+01,  4.467e-17,  2.766e+02,  7.049e+01,  3.399e+02, -8.628e+01,  2.371e+00,  3.127e-01, -9.560e-01,  2.285e+00,  8.320e-03, -9.897e-04, -3.025e-03,  7.231e-03,
 1.544e+05, -6.590e-01,  5.789e-01,  6.105e-01,  6.845e-01, -1.705e+01,  1.056e-01, -1.707e+01,  8.843e-17,  3.637e+02,  3.855e+01,  2.717e+02, -2.918e+01,  2.683e+00,  1.314e-01,  2.015e+00,  1.463e+00,  7.333e-03, -4.159e-04,  6.377e-03,  4.628e-03,
 1.611e+05,  6.405e-01, -8.127e-01, -7.323e-01, -6.676e-01, -1.704e+01,  1.451e-01, -1.709e+01,  0.000e+00,  2.670e+02,  3.902e+01,  3.668e+02, -5.307e+01,  2.302e+00,  1.806e-01,  1.845e+00, -1.666e+00,  8.539e-03, -5.715e-04,  5.838e-03, -5.271e-03,
 1.678e+05, -7.503e-01, -2.192e+00,  4.643e-01, -1.937e+00, -1.699e+01,  2.552e-01, -1.713e+01,  0.000e+00,  3.517e+02,  9.175e+01,  2.664e+02, -6.983e+01,  2.677e+00,  3.192e-01, -1.192e+00, -2.167e+00,  7.350e-03, -1.010e-03, -3.772e-03, -6.858e-03,
 1.745e+05,  4.172e-01,  2.830e+00, -4.211e-01,  2.860e+00, -1.705e+01,  2.987e-02, -1.705e+01,  0.000e+00,  2.868e+02,  8.568e+00,  3.480e+02, -1.012e+01,  2.379e+00,  3.725e-02, -2.389e+00,  7.270e-01,  8.293e-03, -1.179e-04, -7.559e-03,  2.301e-03,
